,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
221,2012.0,12.0,5.0,15.0,30.0,8.0,4.3793182373,-74.5328445435,0.323000015342,0.323000015342,1.0,3.0
246,2012.0,12.0,5.0,15.0,30.0,8.0,4.2804350853,-73.8651046753,0.314000014914,0.314000014914,1.0,3.0
1149,2012.0,12.0,5.0,15.0,30.0,8.0,4.22260379791,-73.845489502,0.365000017337,0.365000017337,1.0,3.0
1150,2012.0,12.0,5.0,15.0,30.0,8.0,4.21855688095,-73.8183670044,0.341000016197,0.341000016197,1.0,3.0
1596,2012.0,12.0,5.0,15.0,30.0,9.0,4.21208286285,-73.9635848999,0.249000011827,0.249000011827,1.0,3.0
2026,2012.0,12.0,5.0,15.0,30.0,9.0,4.26828718185,-74.5280609131,0.365000017337,0.365000017337,1.0,3.0
2029,2012.0,12.0,5.0,15.0,30.0,9.0,4.25643444061,-74.4480056763,0.375000017812,0.375000017812,1.0,3.0
2476,2012.0,12.0,5.0,15.0,30.0,9.0,4.24541807175,-74.5585632324,0.293000013917,0.293000013917,1.0,3.0
2477,2012.0,12.0,5.0,15.0,30.0,9.0,4.24147891998,-74.5319213867,0.263000012492,0.263000012492,1.0,3.0
2478,2012.0,12.0,5.0,15.0,30.0,9.0,4.23753356934,-74.5052185059,0.301000014297,0.301000014297,1.0,3.0
2929,2012.0,12.0,5.0,15.0,30.0,10.0,4.21072387695,-74.5090637207,0.279000013252,0.279000013252,1.0,3.0
