CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
48015010,SP,A.Vasquez Cobo,Leticia,Amazonas,84,"69°56'27.3""W","4°11'37.9""S",4.3,4.1,4.2,4.7,4.7,4.9,6.1,6.4,5.9,5.5,5.2,4.5,5.0
23085030,CO,Alejandria,Alejandria,Antioquia,1660,"75°8'36.2""W","6°22'34.6""N",4.7,4.5,3.8,3.8,4.6,4.8,6.0,6.5,5.2,4.4,4.2,4.3,4.7
26195020,CO,Ita Andes,Andes,Antioquia,1180,"75°52'48.8""W","5°41'27.6""N",5.3,5.4,4.3,3.9,4.1,4.6,5.5,5.1,4.2,4.0,4.4,4.7,4.6
27025030,CO,Anori,Anori,Antioquia,1610,"75°9'1.9""W","7°4'19.0""N",4.5,3.9,3.2,2.9,3.7,5.1,5.9,5.4,4.0,3.3,3.5,3.7,4.1
12015020,AM,Uniban,Apartado,Antioquia,23,"76°39'5.0""W","7°49'34.0""N",5.2,4.9,4.0,3.6,3.9,3.2,4.2,4.3,4.0,4.4,4.6,4.5,4.2
12045010,CP,Arboletes,Arboletes,Antioquia,4,"76°25'21.8""W","8°50'47.9""N",7.1,6.9,6.1,5.0,4.7,5.1,5.2,5.2,4.8,4.8,5.9,6.3,5.6
27015090,CO,Tulio Ospina,Bello,Antioquia,1438,"75°33'9.0""W","6°19'16.0""N",6.0,5.3,5.2,4.4,4.8,5.8,6.7,6.2,5.3,4.3,4.6,5.3,5.3
26225040,CO,Piunti Hda,Buritica,Antioquia,1650,"75°54'46.7""W","6°43'46.2""N",4.2,4.1,3.6,2.9,3.0,2.8,3.9,4.2,3.4,2.8,2.9,3.1,3.4
27015260,AM,Salada La,Caldas,Antioquia,1680,"75°37'28.9""W","6°2'54.1""N",4.5,4.6,3.9,3.0,3.4,4.0,5.2,5.0,4.0,3.5,3.6,3.8,4.0
11115020,CO,Canasgordas,Canasgordas,Antioquia,1200,"76°1'47.0""W","6°45'29.0""N",5.4,5.2,4.7,3.6,3.7,4.3,4.8,4.5,4.0,3.6,4.1,4.5,4.4
12015070,SP,Apto Los Cedros,Carepa,Antioquia,19,"76°43'4.2""W","7°49'0.0""N",5.8,5.4,4.6,4.2,3.9,3.8,4.2,4.4,4.3,4.7,4.7,4.7,4.6
12015060,CO,Tulenapa,Carepa,Antioquia,30,"76°39'27.0""W","7°46'26.3""N",5.9,5.4,4.4,4.0,4.2,4.2,4.8,4.8,4.5,4.9,5.0,5.2,4.8
26255040,CP,Cacaoteras del Diq,Caucasia,Antioquia,55,"75°7'0.0""W","7°59'0.0""N",6.7,6.0,5.6,5.1,5.0,5.6,6.5,6.2,5.4,5.2,5.5,5.7,5.7
27045020,CO,Caseri,Caucasia,Antioquia,400,"74°56'1.4""W","7°48'32.4""N",6.1,5.5,4.0,3.8,4.6,5.0,6.0,5.8,4.7,4.7,4.7,5.1,5.0
12015090,CO,Palmera La,Chigorodo,Antioquia,58,"76°36'20.0""W","7°32'18.0""N",3.4,3.8,2.1,2.7,2.4,2.5,2.6,3.1,2.7,3.4,3.0,2.8,2.9
11025010,CO,Mansa La,Ciudad Bolivar,Antioquia,2100,"76°5'3.6""W","5°52'42.0""N",4.8,5.1,4.8,4.2,4.7,4.9,6.2,6.2,5.0,4.2,4.2,4.4,4.9
26215010,CO,Concordia,Concordia,Antioquia,1904,"75°55'11.0""W","6°2'23.0""N",5.1,5.2,4.5,3.7,4.1,5.4,6.1,5.5,4.8,3.7,3.6,4.1,4.7
26175040,CO,Tunez Hda,Fredonia,Antioquia,530,"75°39'3.5""W","5°48'0.7""N",6.5,6.4,5.7,5.0,5.2,5.9,6.6,6.4,5.6,5.0,5.5,5.9,5.8
11115040,CO,Musinga,Frontino,Antioquia,1330,"76°11'27.0""W","6°47'13.0""N",5.1,5.2,4.1,3.3,3.3,4.0,4.5,4.3,3.6,3.7,4.1,4.7,4.2
26195030,CO,Jardin El,Jardin,Antioquia,2005,"75°48'2.0""W","5°35'15.8""N",4.1,4.6,3.0,2.7,3.0,3.6,4.1,4.4,3.7,3.5,2.6,3.2,3.5
26195010,CO,Miguel Valencia,Jardin,Antioquia,1570,"75°51'0.0""W","5°32'0.0""N",4.8,5.0,4.8,4.2,4.4,5.6,6.0,5.5,4.5,3.8,4.3,5.0,4.8
26185020,CO,Mesopotamia,La Union,Antioquia,2314,"75°19'7.1""W","5°53'10.9""N",5.5,5.1,4.4,3.9,4.7,5.7,7.0,6.7,5.5,4.0,4.1,4.8,5.1
27015070,SP,A.Olaya Herrera,Medellin,Antioquia,1490,"75°35'20.3""W","6°13'14.2""N",5.5,5.4,4.8,4.1,4.5,5.5,6.4,6.0,4.9,4.3,4.5,4.9,5.1
12015010,CO,Villarteaga,Mutata,Antioquia,132,"76°29'0.0""W","7°21'0.0""N",3.9,3.7,3.1,2.7,2.7,2.5,2.7,2.6,2.6,3.0,2.9,3.1,3.0
12025030,CO,Mellito El,Necocli,Antioquia,10,"76°40'21.2""W","8°32'34.6""N",6.0,5.6,4.8,4.1,3.8,3.7,4.4,4.4,4.3,4.6,5.1,5.3,4.7
23095010,CP,Apto Pto Berrio,Puerto Berrio,Antioquia,150,"74°24'44.0""W","6°27'54.0""N",7.0,6.2,4.7,5.3,6.0,6.6,7.3,7.2,6.2,5.7,6.1,6.5,6.2
23175020,SS,Apto Otu,Remedios,Antioquia,718,"74°42'58.6""W","7°0'42.1""N",5.6,5.1,3.9,3.8,4.4,5.2,6.3,5.8,4.8,4.3,4.6,5.2,4.9
23085200,SP,A.J M Cordova,Rionegro,Antioquia,2073,"75°25'33.0""W","6°10'7.0""N",5.3,5.1,4.4,4.2,5.0,6.0,7.0,7.0,5.8,4.7,4.4,4.5,5.3
23085040,AM,Selva La,Rionegro,Antioquia,2090,"75°24'53.0""W","6°7'54.0""N",5.1,4.9,4.2,3.8,4.5,5.6,6.6,6.3,5.1,3.9,4.0,4.6,4.9
23085220,CP,San Carlos,San Carlos,Antioquia,1113,"75°2'20.1""W","6°9'27.6""N",4.3,4.2,3.5,3.5,4.5,5.3,6.4,6.2,5.0,4.1,3.6,3.9,4.5
23085210,CP,Violetas Las,San Rafael,Antioquia,1016,"75°0'10.0""W","6°20'56.0""N",4.9,5.0,4.4,4.5,4.9,5.5,6.4,6.2,5.6,4.8,4.4,4.2,5.1
23085080,CP,Nus Gja Exp El,San Roque,Antioquia,835,"74°50'12.0""W","6°29'9.0""N",5.9,5.6,4.2,4.6,5.3,6.2,6.9,6.7,5.8,5.2,4.9,5.2,5.5
23085160,CO,Corrientes,San Vicente,Antioquia,1950,"75°15'12.7""W","6°18'42.8""N",5.7,5.8,4.7,4.3,5.3,5.6,6.8,6.6,5.9,4.5,4.4,5.5,5.4
27015110,CO,Aragon,Santa Rosa de Osos,Antioquia,2600,"75°49'37.2""W","6°32'2.4""N",5.1,4.9,4.0,3.4,3.8,5.1,6.0,5.7,4.4,3.6,3.8,4.4,4.5
26225030,AM,Cotove Hda,Santafe de Antioquia,Antioquia,530,"75°49'38.6""W","6°32'2.1""N",7.1,6.9,5.9,5.4,5.4,6.2,6.9,6.6,5.7,5.4,5.8,6.2,6.1
27015190,CO,Guayabito,Santo Domingo,Antioquia,1700,"75°8'49.0""W","6°32'27.0""N",5.4,5.0,4.0,4.0,4.5,5.6,6.4,6.2,4.8,4.0,4.2,4.7,4.9
23075010,CP,Rio Claro,Sonson,Antioquia,449,"74°50'54.1""W","5°51'19.9""N",4.8,4.3,3.3,4.1,4.8,5.4,6.4,5.8,4.9,4.4,4.5,4.5,4.8
26175030,CP,Nacional Gja La,Tamesis,Antioquia,1151,"75°41'39.4""W","5°43'12.6""N",6.3,6.2,5.3,4.5,4.3,5.2,6.3,6.1,5.1,4.3,4.7,5.4,5.3
26235030,CO,Matanzas,Toledo,Antioquia,500,"75°39'57.1""W","7°2'8.9""N",5.0,5.3,3.7,3.6,3.4,3.7,4.0,3.7,3.6,4.0,4.2,4.6,4.1
11075010,CO,Honda La,Urrao,Antioquia,1850,"76°9'29.0""W","6°21'23.0""N",5.3,5.0,4.0,3.6,3.8,3.9,4.5,4.7,3.8,3.8,4.0,4.5,4.2
11075020,CO,Urrao,Urrao,Antioquia,1850,"76°8'23.5""W","6°19'29.8""N",5.8,5.6,5.1,4.2,4.4,5.3,5.7,5.5,4.4,4.1,4.4,5.0,5.0
26255020,CP,Sta Isabel,Valdivia,Antioquia,1200,"75°26'32.2""W","7°9'26.2""N",4.0,3.6,3.0,2.8,3.3,3.8,4.7,4.5,3.8,3.4,4.0,3.9,3.7
23105030,CO,Vegachi,Vegachi,Antioquia,995,"74°47'47.7""W","6°46'26.8""N",5.8,5.2,3.9,4.2,4.6,5.6,6.3,6.3,5.3,4.8,4.8,5.2,5.2
