,code,dist,distc,prob,lmean,dmean,hmean,bmean,alt,name,muni,qind,clno,newq
19,21200510.0,29.0,29.0,53.0,52.0,12.0,0.0,0.0,2618.0,Sibate Apostolica,Sibate,16.0,1,6.1
24,21200550.0,36.0,12.0,26.0,81.0,7.0,0.0,0.0,2725.0,Union La-El Rosal,Subachoque,14.9,1,5.2
26,21200690.0,38.0,15.0,53.0,89.0,9.0,0.0,0.0,2610.0,Tesoro-Vertientes,Facatativa,16.0,1,6.1
25,21201070.0,38.0,13.0,17.0,70.0,9.0,0.0,0.0,2580.0,Corazon El,Facatativa,14.3,1,4.7
11,21201120.0,0.0,24.0,53.0,81.0,11.0,0.0,0.0,3045.0,Casita La,La Calera,16.0,1,6.1
20,21201210.0,30.0,10.0,35.0,62.0,12.0,0.0,0.0,2575.0,Hato El,Tenjo,15.4,1,5.6
12,21201230.0,9.0,14.0,53.0,74.0,10.0,0.0,0.0,2520.0,Enmanuel D Alzon,Bogota DC,16.0,1,6.1
21,21201270.0,31.0,7.0,21.0,70.0,12.0,0.0,0.0,2550.0,Tibar El,Madrid,14.6,1,4.9
16,21201360.0,24.0,7.0,21.0,64.0,7.0,0.0,0.0,2550.0,Sta Ines,Tenjo,14.6,1,4.9
32,21201410.0,7.0,28.0,2.0,66.0,0.0,0.0,0.0,2600.0,Acandy,Nemocon,11.1,2,2.2
14,21201540.0,20.0,19.0,17.0,50.0,13.0,0.0,0.0,2640.0,Bosa,Bogota DC,14.3,1,4.7
33,21201620.0,7.0,20.0,35.0,59.0,10.0,0.0,0.0,2575.0,Suesca,Suesca,15.4,2,5.6
18,21201660.0,29.0,22.0,53.0,44.0,9.0,0.0,0.0,2607.0,Fute,Soacha,16.0,1,6.1
27,21201760.0,39.0,26.0,26.0,35.0,5.0,0.0,0.0,2680.0,Sta Isabel,Tabio,14.9,1,5.2
31,21205400.0,0.0,20.0,166.0,52.0,10.0,77.0,4.0,2580.0,Checua-Nemocon,Nemocon,17.7,2,7.6
22,21205570.0,32.0,9.0,18.0,69.0,13.0,0.0,4.0,2590.0,Primavera La,Subachoque,14.4,1,4.7
28,21205910.0,39.0,31.0,15.0,60.0,12.0,0.0,0.0,2600.0,Cosecha La,Zipaquira,14.1,1,4.6
15,21205920.0,21.0,24.0,26.0,70.0,12.0,0.0,0.0,2650.0,Suasuque,Sopo,14.9,1,5.2
23,21206020.0,32.0,17.0,35.0,69.0,11.0,0.0,0.0,2575.0,Santillana,Tabio,15.4,1,5.6
17,21206060.0,27.0,10.0,35.0,39.0,9.0,0.0,0.0,2575.0,Casablanca,Madrid,15.4,1,5.6
13,21206210.0,19.0,5.0,35.0,61.0,12.0,0.0,0.0,2560.0,Flores Colombianas,Funza,15.4,1,5.6
30,21206290.0,51.0,27.0,53.0,73.0,12.0,0.0,0.0,2673.0,Venecia,Facatativa,16.0,1,6.1
29,21206340.0,43.0,39.0,19.0,51.0,12.0,0.0,0.0,2700.0,Paraiso Perdido,Sibate,14.5,1,4.8
41,24010070.0,27.0,10.0,26.0,63.0,12.0,0.0,0.0,2650.0,Leticia,Lenguazaque,14.9,2,5.2
35,24010140.0,18.0,6.0,17.0,57.0,9.0,0.0,0.0,2620.0,Cucunuba,Cucunuba,14.3,2,4.7
