,cod,lon,lat,ele,sun,hum,pre,rai,nam,mun,dep,N
0,11010010,76.545,-5.45861111111,100,0,0,4,2,Vuelta La,Lloro,Choco,2
1,11020010,76.1419444444,-5.90833333333,1850,0,0,3,3,Carmen de Atrato,El Carmen de Atrato,Choco,2
2,11020020,76.1833333333,-5.76666666667,1500,0,0,4,3,Guaduas,El Carmen de Atrato,Choco,2
3,11020050,76.2508333333,-5.7575,715,0,0,4,2,Pinon El,El Carmen de Atrato,Choco,2
4,11025010,76.0841666667,-5.87833333333,2100,1,1,3,3,Mansa La,Ciudad Bolivar,Antioquia,4
5,11030010,76.6130555556,-5.36722222222,54,0,0,4,2,Certegui,Certegui,Choco,2
6,11030030,76.7280555556,-5.33416666667,50,0,0,4,2,Managru,El Canton Del San Pablo,Choco,2
7,11030040,76.7408333333,-5.48138888889,35,0,0,4,2,Paimado,Rio Quito,Choco,2
8,11035010,76.5758333333,-5.51472222222,90,0,1,4,2,Lloro,Lloro,Choco,3
9,11035020,76.7497222222,-5.62611111111,45,0,1,4,2,San Isidro,Rio Quito,Choco,3
10,11040010,76.5377777778,-5.74361111111,54,0,0,8,2,Tutunendo,Quibdo,Choco,2
11,11045010,76.6436111111,-5.69055555556,53,1,1,4,2,Apto El Carano,Quibdo,Choco,4
12,11050010,76.7269444444,-6.22166666667,20,0,0,4,2,Tagachi,Quibdo,Choco,2
13,11050020,76.78,-5.99472222222,25,0,0,4,2,Bete,Medio Atrato,Choco,2
14,11050030,76.8211111111,-6.1025,25,0,0,4,2,Buey El,Medio Atrato,Choco,2
15,11050060,76.9155555556,-6.10833333333,100,0,0,4,3,Alto del Buey,Medio Atrato,Choco,2
16,11060010,76.7791666667,-6.42,18,0,0,4,6,Buchado,Vigia del Fuerte,Antioquia,2
17,11070010,76.75,-6.61666666667,22,0,0,4,3,Playa La-Murry,Vigia del Fuerte,Antioquia,2
18,11070020,76.2286111111,-6.33222222222,2050,0,0,3,3,Roble El,Urrao,Antioquia,2
19,11070030,76.1586111111,-6.53944444444,2150,0,0,3,3,Clarita La,Urrao,Antioquia,2
20,11070130,76.0333333333,-6.13333333333,2320,0,0,3,3,Brechon El,Urrao,Antioquia,2
21,11075010,76.1580555556,-6.35638888889,1850,5,1,7,3,Honda La,Urrao,Antioquia,4
22,11075020,76.1397222222,-6.32472222222,1850,1,1,7,3,Urrao,Urrao,Antioquia,4
23,11080010,76.8852777778,-6.55916666667,15,0,0,4,3,Bellavista,Bojaya,Choco,2
24,11085010,76.9833333333,-6.53333333333,20,2,0,4,0,Loma La,Bojaya,Choco,2
25,11090010,76.9725,-6.8125,50,0,0,4,6,Opogado,Bojaya,Choco,2
26,11100010,76.9166666667,-7.08333333333,25,0,0,10,6,Vigia de Curvarado,Carmen Del Darien,Choco,2
27,11100020,77.0344444444,-7.17833333333,11,0,0,3,6,Domingodo,Carmen Del Darien,Choco,2
28,11110010,76.1336111111,-6.76333333333,1370,0,0,3,3,Normal Sta Teresa,Frontino,Antioquia,2
29,11110020,76.075,-6.6425,1920,0,0,6,3,Abriaqui,Abriaqui,Antioquia,2
30,11110030,76.2522222222,-6.85805555556,905,0,0,7,6,Fuemia,Frontino,Antioquia,2
31,11110110,75.9775,-6.69944444444,2000,0,0,3,3,Boqueron de Toyo,Giraldo,Antioquia,2
32,11115020,76.0297222222,-6.75805555556,1200,5,1,3,3,Canasgordas,Canasgordas,Antioquia,4
33,11115040,76.1908333333,-6.78694444444,1330,5,1,3,3,Musinga,Frontino,Antioquia,4
34,11120040,77.1152777778,-7.43944444444,8,0,0,3,6,Riosucio,Riosucio,Choco,2
35,11130010,77.0877777778,-8.03666666667,15,0,0,3,1,Unguia,Unguia,Choco,2
36,11130020,77.1255555556,-7.57666666667,5,0,0,3,6,Honda La,Riosucio,Choco,2
37,11135010,77.1166666667,-7.85,2,0,1,3,6,Sautata,Riosucio,Choco,3
38,11150010,77.0758333333,-8.30805555556,6,0,0,3,6,Titumate,Unguia,Choco,2
39,11150020,77.0402777778,-8.16277777778,11,0,0,3,6,Tanela,Unguia,Choco,2
40,11150030,77.2769444444,-8.53083333333,2,0,0,3,6,Acandi,Acandi,Choco,2
41,12010010,76.8552777778,-7.76638888889,20,0,0,10,6,Tormento El,Turbo,Antioquia,2
42,12010030,76.6975,-7.57111111111,36,0,0,3,6,Barranquillita,Chigorodo,Antioquia,2
43,12010050,76.7030555556,-7.80805555556,35,0,0,3,6,Toscana La,Carepa,Antioquia,2
44,12010060,76.6891666667,-7.86305555556,31,0,0,3,6,Lorena La,Apartado,Antioquia,2
45,12010070,76.6477777778,-7.88444444444,10,0,0,3,6,Casco El,Apartado,Antioquia,2
46,12010090,76.7116666667,-7.7475,18,0,0,3,6,Trigana,Carepa,Antioquia,2
47,12010100,76.6172222222,-7.94527777778,4,0,0,3,6,Eupol,Turbo,Antioquia,2
48,12010110,76.6383333333,-7.98722222222,38,0,0,3,6,Prado Mar,Turbo,Antioquia,2
49,12010120,76.6472222222,-7.88361111111,64,0,0,3,6,Sta Martha,Turbo,Antioquia,2
50,12015010,76.4833333333,-7.35,132,2,1,4,3,Villarteaga,Mutata,Antioquia,4
51,12015020,76.6513888889,-7.82611111111,23,5,1,3,3,Uniban,Apartado,Antioquia,4
52,12015060,76.6575,-7.77388888889,30,5,1,3,3,Tulenapa,Carepa,Antioquia,4
53,12015070,76.7177777778,-7.81666666667,19,5,1,3,3,Apto Los Cedros,Carepa,Antioquia,4
54,12015090,76.6055555556,-7.53833333333,58,2,1,10,3,Palmera La,Chigorodo,Antioquia,4
55,12020010,76.5247222222,-8.20416666667,79,0,0,6,6,Pueblo Bello,Turbo,Antioquia,2
56,12025030,76.6725,-8.54277777778,10,5,1,7,6,Mellito El,Necocli,Antioquia,4
57,12025040,76.7161111111,-8.09166666667,37,0,1,3,6,Turbo,Turbo,Antioquia,3
58,12030010,76.5330555556,-8.755,4,0,0,3,1,San Juan de Uraba,San Juan De Uraba,Antioquia,2
59,12030020,76.3836111111,-8.61722222222,50,0,0,5,1,Carmelo El,Arboletes,Antioquia,2
60,12040010,76.2025,-8.89666666667,90,0,0,5,1,Jaramagal,Puerto Escondido,Cordoba,2
61,12040020,76.2355555556,-8.78694444444,40,0,0,5,1,Canalete,Canalete,Cordoba,2
62,12045010,76.4225,-8.84638888889,4,5,1,5,1,Arboletes,Arboletes,Antioquia,4
63,12045020,76.2252777778,-9.07194444444,15,0,1,5,1,Cristo Rey,Puerto Escondido,Cordoba,3
64,13030010,76.0494444444,-8.18388888889,100,0,0,11,1,Tierralta,Tierralta,Cordoba,2
65,13040010,76.3333333333,-8.06666666667,200,0,0,5,5,Quimari,Tierralta,Cordoba,2
66,13040030,76.1655555556,-8.25888888889,80,0,0,5,6,Pezval,Valencia,Cordoba,2
67,13050010,76.0408333333,-8.85166666667,120,0,0,11,1,Sta Lucia,Monteria,Cordoba,2
68,13050020,76.1238888889,-8.6675,220,0,0,5,1,Sta Cruz Hda,Monteria,Cordoba,2
69,13050030,76.1752777778,-8.50194444444,100,0,0,5,1,Loma Verde,Monteria,Cordoba,2
70,13055030,75.9725,-8.65916666667,30,0,1,5,1,Galan,Monteria,Cordoba,3
71,13060010,75.8561111111,-8.55527777778,75,0,0,5,1,San Anterito,Monteria,Cordoba,2
72,13060020,75.7666666667,-8.4725,55,0,0,5,1,Buenos Aires,Monteria,Cordoba,2
73,13060030,75.9038888889,-8.26611111111,60,0,0,11,1,Caramelo,Tierralta,Cordoba,2
74,13065020,75.8913888889,-8.40777777778,25,0,1,5,1,Maracayo,Monteria,Cordoba,3
75,13070010,75.9358333333,-9.34277777778,3,0,0,5,1,Limon El,San Bernardo del Viento,Cordoba,2
76,13070020,75.6883333333,-9.24222222222,20,0,0,5,1,Momil,Momil,Cordoba,2
77,13070030,75.8333333333,-9.03333333333,20,0,0,5,1,Sabana Nueva,San Pelayo,Cordoba,2
78,13070040,75.7422222222,-8.95055555556,19,0,0,5,1,Rabolargo,Cerete,Cordoba,2
79,13070050,75.7861111111,-8.89027777778,20,0,0,5,1,Cerete,Cerete,Cordoba,2
80,13070060,75.6258333333,-8.8725,25,0,0,5,1,Cienaga de Oro,Cienaga de Oro,Cordoba,2
81,13070070,75.8561111111,-8.82972222222,20,0,0,11,1,Boca de La Ceiba,Monteria,Cordoba,2
82,13070080,75.5666666667,-8.95,40,0,0,5,1,Siglo El,Cienaga de Oro,Cordoba,2
83,13070090,75.6961111111,-8.79722222222,60,0,0,7,1,San Carlos,San Carlos,Cordoba,2
84,13070100,75.6013888889,-8.74111111111,140,0,0,5,1,Sta Rosa,San Carlos,Cordoba,2
85,13070110,75.7533333333,-8.68194444444,40,0,0,5,1,Carrizal,San Carlos,Cordoba,2
86,13070120,75.6769444444,-8.6975,95,0,0,5,1,Callemar,San Carlos,Cordoba,2
