CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
47060010,PM,Encanto El,El Encanto,Amazonas,120,"73°12'34.0""W","1°44'54.0""S",14,14,17,16,19,19,17,14,14,14,15,15,189
47040050,PM,San Agustin,El Encanto,Amazonas,125,"73°29'5.4""W","1°36'38.5""S",13,12,14,16,16,17,16,14,13,12,13,14,171
44130040,PM,Monos Los,La Chorrera,Amazonas,137,"73°11'36.9""W","0°37'45.3""S",11,12,15,18,20,20,19,16,15,13,15,13,187
44130030,PM,Pto Belen,La Chorrera,Amazonas,143,"73°46'23.6""W","0°54'54.4""S",10,11,14,17,18,18,16,14,12,13,13,11,167
44180030,PM,Bacuri,La Pedrera,Amazonas,101,"69°28'12.2""W","1°14'3.6""S",20,18,19,20,22,22,20,18,16,16,16,18,224
44150040,PM,Manacaro,La Pedrera,Amazonas,109,"70°10'49.6""W","1°31'39.2""S",18,17,19,18,21,20,19,17,14,16,16,17,213
44180020,PM,Pedrera La,La Pedrera,Amazonas,102,"69°35'29.3""W","1°18'42.8""S",14,12,14,14,16,15,14,13,12,12,12,13,162
44180010,PM,Pto Cordoba,La Pedrera,Amazonas,104,"69°43'31.8""W","1°17'7.0""S",16,14,16,17,17,17,16,14,13,13,15,16,183
48015010,SP,A.Vasquez Cobo,Leticia,Amazonas,84,"69°56'27.3""W","4°11'37.9""S",25,22,23,23,23,19,16,16,17,20,22,25,251
44150030,PM,Maria Manteca,Miriti - Parana,Amazonas,114,"70°35'45.5""W","1°25'4.8""S",18,17,19,20,20,21,19,15,15,14,16,18,211
44150020,PM,Miranas Las,Miriti - Parana,Amazonas,116,"70°49'44.4""W","1°17'42.2""S",13,14,16,17,18,18,17,14,13,14,14,15,181
47040030,PM,Pto Toloza,Puerto Alegria,Amazonas,135,"74°4'6.6""W","1°2'58.2""S",12,13,16,17,20,19,17,15,15,14,14,13,185
47040020,PM,Refugio El,Puerto Alegria,Amazonas,140,"74°23'12.0""W","0°33'33.0""S",10,12,14,19,19,20,17,16,14,15,14,10,179
47040040,PM,Remolino,Puerto Alegria,Amazonas,130,"73°37'8.2""W","1°15'32.2""S",13,14,17,19,20,20,18,16,13,15,15,15,196
47060020,PM,Estrecho-Marandua,Puerto Arica,Amazonas,93,"72°40'24.1""W","2°26'37.7""S",13,12,16,16,16,16,14,12,10,13,13,15,167
48010020,PM,Pto Narino,Puerto Narino,Amazonas,93,"70°21'56.2""W","3°47'1.8""S",19,17,15,16,17,15,10,9,12,13,12,19,173
44150010,PM,Aguazul,Puerto Santander,Amazonas,129,"72°8'41.8""W","0°33'35.6""S",16,16,19,23,24,24,22,20,17,16,17,16,231
44130060,PM,Angosturas,Puerto Santander,Amazonas,134,"72°43'14.3""W","0°35'27.4""S",12,12,18,19,22,20,19,17,18,16,14,13,199
44130070,PM,Monochoa,Puerto Santander,Amazonas,133,"72°32'50.6""W","0°41'53.8""S",13,14,17,21,23,24,22,20,18,17,16,14,220
44160020,PM,Sta Isabel,Puerto Santander,Amazonas,118,"71°7'27.5""W","1°5'54.0""S",16,15,17,18,20,19,17,15,13,13,14,16,194
26180160,PM,Abejorral,Abejorral,Antioquia,2190,"75°25'49.5""W","5°47'9.5""N",11,10,16,16,17,13,11,13,17,20,19,13,176
11110020,PG,Abriaqui,Abriaqui,Antioquia,1920,"76°4'30.0""W","6°38'33.0""N",11,12,16,21,22,17,15,16,20,24,22,15,212
23085030,CO,Alejandria,Alejandria,Antioquia,1660,"75°8'36.2""W","6°22'34.6""N",15,16,21,25,26,21,20,21,25,26,24,20,260
27010850,PM,Amalfi,Amalfi,Antioquia,1530,"75°4'38.0""W","6°54'20.0""N",8,11,13,20,21,16,17,18,20,21,17,11,193
27010890,PM,Cueva Santa,Amalfi,Antioquia,1550,"75°2'18.1""W","6°57'32.4""N",7,9,12,17,19,17,17,18,19,20,16,10,179
27010960,PM,Monos Hda,Amalfi,Antioquia,1100,"74°54'7.7""W","6°53'55.0""N",6,9,11,18,20,17,17,18,19,20,15,9,177
26190120,PM,Campamento,Andes,Antioquia,1250,"75°53'0.0""W","5°41'0.0""N",9,9,13,18,21,15,14,15,19,20,16,10,178
26195020,CO,Ita Andes,Andes,Antioquia,1180,"75°52'48.8""W","5°41'27.6""N",13,14,17,23,23,20,18,19,22,24,20,15,228
26190100,PM,Sta Barbara,Andes,Antioquia,1507,"75°54'0.3""W","5°33'50.3""N",12,12,17,21,23,20,18,19,21,23,20,16,222
27020210,PM,Angostura,Angostura,Antioquia,1650,"75°19'56.9""W","6°52'59.3""N",5,7,9,15,21,17,17,17,17,18,14,8,163
27025030,CO,Anori,Anori,Antioquia,1610,"75°9'1.9""W","7°4'19.0""N",10,12,16,21,24,22,23,23,23,24,21,14,233
27020170,PM,Carmen El Hda,Anori,Antioquia,950,"75°4'47.2""W","7°8'49.9""N",6,9,12,18,19,18,17,17,19,20,15,9,179
26210090,PM,Anza,Anza,Antioquia,710,"75°51'33.3""W","6°18'11.3""N",4,5,7,11,14,13,11,12,14,15,12,6,124
12010070,PM,Casco El,Apartado,Antioquia,10,"76°38'52.0""W","7°53'4.0""N",6,5,6,11,15,15,15,15,13,13,12,11,136
