CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
48015010,SP,A.Vasquez Cobo,Leticia,Amazonas,84,"69°56'27.3""W","4°11'37.9""S",88,88,88,88,88,88,86,85,85,86,87,88,87
23085030,CO,Alejandria,Alejandria,Antioquia,1660,"75°8'36.2""W","6°22'34.6""N",88,88,89,88,89,88,87,87,88,88,89,89,88
26195020,CO,Ita Andes,Andes,Antioquia,1180,"75°52'48.8""W","5°41'27.6""N",79,79,79,81,83,82,81,81,82,81,82,82,81
27025030,CO,Anori,Anori,Antioquia,1610,"75°9'1.9""W","7°4'19.0""N",90,90,90,90,89,86,84,85,87,89,90,91,88
12015020,AM,Uniban,Apartado,Antioquia,23,"76°39'5.0""W","7°49'34.0""N",86,84,84,86,88,88,88,88,87,87,87,88,87
12045010,CP,Arboletes,Arboletes,Antioquia,4,"76°25'21.8""W","8°50'47.9""N",81,80,79,82,85,84,84,84,84,83,83,83,83
27015150,CO,Progreso El Hda,Barbosa,Antioquia,1500,"75°23'48.0""W","6°24'50.0""N",82,81,81,83,84,82,81,81,82,83,83,83,82
27015090,CO,Tulio Ospina,Bello,Antioquia,1438,"75°33'9.0""W","6°19'16.0""N",77,74,75,78,78,76,74,73,77,80,80,79,77
26225040,CO,Piunti Hda,Buritica,Antioquia,1650,"75°54'46.7""W","6°43'46.2""N",79,79,79,82,83,82,80,81,82,84,84,83,81
27015260,AM,Salada La,Caldas,Antioquia,1680,"75°37'28.9""W","6°2'54.1""N",84,83,84,86,87,85,84,82,84,85,86,86,85
11115020,CO,Canasgordas,Canasgordas,Antioquia,1200,"76°1'47.0""W","6°45'29.0""N",85,84,84,86,86,86,85,85,85,86,87,86,86
12015070,SP,Apto Los Cedros,Carepa,Antioquia,19,"76°43'4.2""W","7°49'0.0""N",82,82,82,83,84,84,83,83,83,83,84,83,83
12015060,CO,Tulenapa,Carepa,Antioquia,30,"76°39'27.0""W","7°46'26.3""N",85,85,84,86,88,89,88,88,87,87,88,88,87
26255040,CP,Cacaoteras del Diq,Caucasia,Antioquia,55,"75°7'0.0""W","7°59'0.0""N",79,77,77,79,82,82,82,82,83,83,83,82,81
27045020,CO,Caseri,Caucasia,Antioquia,400,"74°56'1.4""W","7°48'32.4""N",80,79,78,80,82,82,81,82,82,82,83,82,81
12015090,CO,Palmera La,Chigorodo,Antioquia,58,"76°36'20.0""W","7°32'18.0""N",81,78,78,82,83,83,83,84,84,84,83,84,82
11025010,CO,Mansa La,Ciudad Bolivar,Antioquia,2100,"76°5'3.6""W","5°52'42.0""N",87,87,88,89,89,88,87,86,88,88,89,89,88
