CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
47060010,PM,Encanto El,El Encanto,Amazonas,120,"73°12'34.0""W","1°44'54.0""S",210.7,230.2,303.3,341.6,333.1,293.7,250.4,229.1,183.3,197.4,256.3,236.2,3065,14,14,17,16,19,19,17,14,14,14,15,15,189
47040050,PM,San Agustin,El Encanto,Amazonas,125,"73°29'5.4""W","1°36'38.5""S",246.8,233.6,325.2,364.3,378.1,354.4,320.5,260.5,280.5,283,302,293.4,3642.2,13,12,14,16,16,17,16,14,13,12,13,14,171
44130040,PM,Monos Los,La Chorrera,Amazonas,137,"73°11'36.9""W","0°37'45.3""S",158.1,198.4,273.8,346.2,416.8,389.6,321.8,278.4,253.2,269.1,251.3,212,3368.5,11,12,15,18,20,20,19,16,15,13,15,13,187
44130030,PM,Pto Belen,La Chorrera,Amazonas,143,"73°46'23.6""W","0°54'54.4""S",151.1,191.8,250.4,334.7,437.4,414.7,371,253.4,238.7,241.9,227.9,159,3271.9,10,11,14,17,18,18,16,14,12,13,13,11,167
44180030,PM,Bacuri,La Pedrera,Amazonas,101,"69°28'12.2""W","1°14'3.6""S",339.5,284.8,359,378.3,375.6,313.1,257,258.6,217.7,287,300.8,327.8,3699.3,20,18,19,20,22,22,20,18,16,16,16,18,224
44150040,PM,Manacaro,La Pedrera,Amazonas,109,"70°10'49.6""W","1°31'39.2""S",297.6,299.7,360.9,390.2,351.3,364.8,288.5,238.6,216.2,255.5,294.1,284.7,3642.2,18,17,19,18,21,20,19,17,14,16,16,17,213
44180020,PM,Pedrera La,La Pedrera,Amazonas,102,"69°35'29.3""W","1°18'42.8""S",316.3,270.4,423.8,398.9,426.4,359.9,335.7,293.3,253.9,250.2,304.1,301.2,3934.1,14,12,14,14,16,15,14,13,12,12,12,13,162
44180010,PM,Pto Cordoba,La Pedrera,Amazonas,104,"69°43'31.8""W","1°17'7.0""S",345.3,289.4,346.8,360.5,401,367.4,346.2,267.9,245.4,280.9,312.1,307.3,3870,16,14,16,17,17,17,16,14,13,13,15,16,183
48015010,SP,A.Vasquez Cobo,Leticia,Amazonas,84,"69°56'27.3""W","4°11'37.9""S",366.8,354.6,357.9,376.4,301.9,189.8,158.1,157.9,220.8,257.3,317.5,330.1,3389.1,25,22,23,23,23,19,16,16,17,20,22,25,251
44150030,PM,Maria Manteca,Miriti - Parana,Amazonas,114,"70°35'45.5""W","1°25'4.8""S",324.1,343.2,362.9,488.1,437.1,413.5,295.4,227.9,257,278.5,302.5,358.4,4088.5,18,17,19,20,20,21,19,15,15,14,16,18,211
44150020,PM,Miranas Las,Miriti - Parana,Amazonas,116,"70°49'44.4""W","1°17'42.2""S",249.8,318.7,341.4,411.5,389.8,328.2,284.6,225,266,291.4,288.8,305.9,3701,13,14,16,17,18,18,17,14,13,14,14,15,181
47040030,PM,Pto Toloza,Puerto Alegria,Amazonas,135,"74°4'6.6""W","1°2'58.2""S",188.6,256.1,314.7,376.3,398.7,362.5,337.5,276.2,281.6,262.6,263.3,273,3591.1,12,13,16,17,20,19,17,15,15,14,14,13,185
47040020,PM,Refugio El,Puerto Alegria,Amazonas,140,"74°23'12.0""W","0°33'33.0""S",110,190.6,213.3,347.5,322.9,372.4,305.9,260.5,217.4,234.4,228.1,152.7,2955.5,10,12,14,19,19,20,17,16,14,15,14,10,179
47040040,PM,Remolino,Puerto Alegria,Amazonas,130,"73°37'8.2""W","1°15'32.2""S",252.1,248.8,334.1,430.4,466.8,371.8,315.7,313.3,258.3,283.6,305,276.9,3856.8,13,14,17,19,20,20,18,16,13,15,15,15,196
47060020,PM,Estrecho-Marandua,Puerto Arica,Amazonas,93,"72°40'24.1""W","2°26'37.7""S",269.9,276.3,355.9,430.7,254.8,205.4,221.8,144.6,159.3,204.2,224.6,248.7,2996.2,13,12,16,16,16,16,14,12,10,13,13,15,167
48010020,PM,Pto Narino,Puerto Narino,Amazonas,93,"70°21'56.2""W","3°47'1.8""S",349.7,304,300.9,323.8,290.7,250.6,151.8,138.3,193.2,203.1,193.2,349.2,3048.3,19,17,15,16,17,15,10,9,12,13,12,19,173
44150010,PM,Aguazul,Puerto Santander,Amazonas,129,"72°8'41.8""W","0°33'35.6""S",213.2,250,359.3,399.5,420.8,419.7,326.5,310.5,274.4,241.4,278.1,246.8,3740.2,16,16,19,23,24,24,22,20,17,16,17,16,231
44130060,PM,Angosturas,Puerto Santander,Amazonas,134,"72°43'14.3""W","0°35'27.4""S",209.8,232,423.2,455.4,494.3,458.5,443.3,376.9,350.2,349.7,317.2,309.4,4419.9,12,12,18,19,22,20,19,17,18,16,14,13,199
44130070,PM,Monochoa,Puerto Santander,Amazonas,133,"72°32'50.6""W","0°41'53.8""S",149.7,226,300.6,436,442.2,402.1,377.2,297.4,285.3,287.3,262.4,224,3690.2,13,14,17,21,23,24,22,20,18,17,16,14,220
44160020,PM,Sta Isabel,Puerto Santander,Amazonas,118,"71°7'27.5""W","1°5'54.0""S",270.9,311.6,391.3,445,424.8,398.7,301.4,244.3,252.3,267,255,282.4,3844.6,16,15,17,18,20,19,17,15,13,13,14,16,194
26180160,PM,Abejorral,Abejorral,Antioquia,2190,"75°25'49.5""W","5°47'9.5""N",90.6,95,151.5,189.8,220.5,142.9,120.5,145.9,215.3,277.8,240.8,151.6,2042.3,11,10,16,16,17,13,11,13,17,20,19,13,176
11110020,PG,Abriaqui,Abriaqui,Antioquia,1920,"76°4'30.0""W","6°38'33.0""N",92.4,108.7,151.1,240.9,261.9,187.4,141.5,160.8,218.1,270,235,153.8,2221.5,11,12,16,21,22,17,15,16,20,24,22,15,212
23085030,CO,Alejandria,Alejandria,Antioquia,1660,"75°8'36.2""W","6°22'34.6""N",178.6,193,302.1,439.6,505.6,433.3,400.4,447.7,568.9,545.6,348.6,216,4579.2,15,16,21,25,26,21,20,21,25,26,24,20,260
27010850,PM,Amalfi,Amalfi,Antioquia,1530,"75°4'38.0""W","6°54'20.0""N",77.3,102.4,153.2,299.9,308.3,236.3,244.2,257.1,297.5,361.3,234.4,116.8,2688.6,8,11,13,20,21,16,17,18,20,21,17,11,193
27010890,PM,Cueva Santa,Amalfi,Antioquia,1550,"75°2'18.1""W","6°57'32.4""N",58.7,124,179.9,336.7,340.5,310,291.5,328.5,330.7,367.5,255.2,106,3029.1,7,9,12,17,19,17,17,18,19,20,16,10,179
27010960,PM,Monos Hda,Amalfi,Antioquia,1100,"74°54'7.7""W","6°53'55.0""N",61.7,128.2,160.5,298.7,388.8,348.7,375,321.6,371.3,350,239.4,92.8,3136.5,6,9,11,18,20,17,17,18,19,20,15,9,177
26190120,PM,Campamento,Andes,Antioquia,1250,"75°53'0.0""W","5°41'0.0""N",94.6,89.9,175.3,258.9,262.4,212.3,189.5,200.9,256.3,247,202.1,102.7,2291.9,9,9,13,18,21,15,14,15,19,20,16,10,178
26195020,CO,Ita Andes,Andes,Antioquia,1180,"75°52'48.8""W","5°41'27.6""N",82.5,99.4,165.1,228.6,248.2,193.8,183.5,178.9,226.1,212.4,188.4,129.6,2136.4,13,14,17,23,23,20,18,19,22,24,20,15,228
26190100,PM,Sta Barbara,Andes,Antioquia,1507,"75°54'0.3""W","5°33'50.3""N",114.2,136.6,173.9,247.8,262.6,207,195,195.9,226.5,260.3,198.5,161.6,2379.8,12,12,17,21,23,20,18,19,21,23,20,16,222
27020210,PM,Angostura,Angostura,Antioquia,1650,"75°19'56.9""W","6°52'59.3""N",50.8,93.7,118.2,255.4,414.6,371.1,347.1,334.3,329.2,310.3,213.7,103.3,2941.6,5,7,9,15,21,17,17,17,17,18,14,8,163
27025030,CO,Anori,Anori,Antioquia,1610,"75°9'1.9""W","7°4'19.0""N",58.3,111.5,156.3,270.8,320.7,296.9,313.3,318.4,327.6,314.8,229.9,119.9,2838.5,10,12,16,21,24,22,23,23,23,24,21,14,233
27020170,PM,Carmen El Hda,Anori,Antioquia,950,"75°4'47.2""W","7°8'49.9""N",95.7,145.5,237.8,359.9,466.3,427.2,437.4,439.9,459.5,470.8,300.6,158.6,3999.2,6,9,12,18,19,18,17,17,19,20,15,9,179
26210090,PM,Anza,Anza,Antioquia,710,"75°51'33.3""W","6°18'11.3""N",48.6,63.7,90.6,152,193.5,184.9,148,155.5,178.4,207.5,157.2,72.1,1652.1,4,5,7,11,14,13,11,12,14,15,12,6,124
12010070,PM,Casco El,Apartado,Antioquia,10,"76°38'52.0""W","7°53'4.0""N",96.7,84.3,96,229,340.2,271.2,240.9,256.7,252.1,288,262.8,199.5,2617.3,6,5,6,11,15,15,15,15,13,13,12,11,136
12010060,PM,Lorena La,Apartado,Antioquia,31,"76°41'21.0""W","7°51'47.0""N",124.1,98.9,116.2,248.3,330.3,252.1,261.3,229.1,228.4,264.1,268.7,196,2617.5,4,4,5,10,11,11,11,11,10,11,11,8,108
12015020,AM,Uniban,Apartado,Antioquia,23,"76°39'5.0""W","7°49'34.0""N",94.7,81.7,98.8,254.2,330.7,285.3,255,251.8,283.7,310,291.1,207.3,2744.1,9,9,10,18,22,22,22,22,22,21,19,15,211
12045010,CP,Arboletes,Arboletes,Antioquia,4,"76°25'21.8""W","8°50'47.9""N",15.4,16.8,41.6,127.4,251.1,191.7,202.1,226.1,187.8,206.9,183.8,80,1730.7,3,2,4,8,14,12,13,12,11,12,11,6,108
12030020,PM,Carmelo El,Arboletes,Antioquia,50,"76°23'1.3""W","8°37'2.5""N",22.8,24.2,52.6,135.2,191.2,153.8,148.1,175.9,173,150.4,131.7,71.7,1430.6,3,1,3,7,9,8,8,9,9,8,7,4,76
23055070,ME,Argelia,Argelia,Antioquia,1669,"75°8'19.1""W","5°43'52.1""N",365.9,400,512.6,484.8,477.7,330,332.5,324.1,461.4,555.4,564.9,494.4,5303.9,24,22,27,26,25,21,19,19,24,27,27,27,286
26200140,PM,Armenia,Armenia,Antioquia,1619,"75°46'17.5""W","6°9'28.7""N",76.7,95.3,159.8,207.5,276.5,209.8,189.1,194.2,247.8,259.3,204.2,112,2232.3,7,9,12,17,19,16,15,15,19,18,16,10,173
27015150,CO,Progreso El Hda,Barbosa,Antioquia,1500,"75°23'48.0""W","6°24'50.0""N",57.5,80.1,113.2,188.6,246.8,199.1,207.6,202.3,234.2,235.4,155,83.3,2003,8,10,13,20,21,18,19,18,20,22,18,11,199
27010800,PM,Meseta La Sn Pedro,Bello,Antioquia,2600,"75°36'26.0""W","6°23'59.0""N",46.3,53.7,82.8,144.2,177.1,145.1,132.7,129.1,166.9,197.7,150.5,82.7,1508.8,6,6,10,14,17,14,14,13,17,20,17,11,158
27015090,CO,Tulio Ospina,Bello,Antioquia,1438,"75°33'9.0""W","6°19'16.0""N",38.1,53,99.6,161,197.4,139.5,120.9,127.1,174.4,215.6,136.5,79.4,1542.4,8,9,15,20,21,17,17,17,20,23,18,11,197
27010870,PM,Belmira,Belmira,Antioquia,2540,"75°40'6.0""W","6°36'33.0""N",89.5,114.3,175.2,231.6,262,165.6,154.1,153.1,210.4,248.3,209.6,134.1,2147.7,9,10,16,18,20,15,16,15,18,20,19,13,188
26230220,PM,Oculta La,Belmira,Antioquia,2300,"75°38'18.9""W","6°46'45.8""N",93.2,99.9,187.7,254.7,265.8,182.8,179.1,172.4,224.5,277.6,229.9,154.6,2322.3,11,11,16,20,22,18,18,18,20,24,21,15,214
26190090,PM,Betania-Las Guacas,Betania,Antioquia,1580,"75°58'31.9""W","5°45'18.0""N",124.5,148.2,198.2,291.8,318.2,227.1,219.3,234.7,265.4,307.2,240.9,161.8,2737.3,12,13,16,20,23,18,18,18,20,23,20,15,215
