id,label,timeset,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,weight<norm._citations>,score<citations>,description
1.0,buffa (2017),,1.0,0.0,8.0,http://dx.doi.org/10.1088/1361-6501/28/1/014004,2017.0,1.0,1.0,0.0,"<table><tr><td>Authors:</td><td>buffa, f; bolli, p; sanna, g; serra, g</td></tr><tr><td>Title:</td><td>an atmosphere monitoring system for the sardinia radio telescope</td></tr><tr><td>Source:</td><td>measurement science and technology, 28(1)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
4.0,radford (2016),,4.0,2.0,7.0,http://dx.doi.org/10.1088/1538-3873/128/965/075001,2016.0,2.8,2.8,2.0,"<table><tr><td>Authors:</td><td>radford, sje; peterson, jb</td></tr><tr><td>Title:</td><td>submillimeter atmospheric transparency at maunakea, at the south pole, and at chajnantor</td></tr><tr><td>Source:</td><td>publications of the astronomical society of the pacific, 128(965)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"
5.0,suen (2016),,3.0,0.0,4.0,http://dx.doi.org/10.1007/s10762-016-0257-x,2016.0,0.0,0.0,0.0,"<table><tr><td>Authors:</td><td>suen, jy</td></tr><tr><td>Title:</td><td>terabit-per-second satellite links: a path toward ubiquitous terahertz communication</td></tr><tr><td>Source:</td><td>journal of infrared millimeter and terahertz waves, 37(7), 615-639</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"
7.0,wentz (2016),,1.0,2.0,2.0,http://dx.doi.org/10.1002/2015rs005858,2016.0,2.8,2.8,2.0,"<table><tr><td>Authors:</td><td>wentz, fj; meissner, t</td></tr><tr><td>Title:</td><td>atmospheric absorption model for dry air and water vapor at microwave frequencies below 100ghz derived from spaceborne radiometer observations</td></tr><tr><td>Source:</td><td>radio science, 51(5), 381-391</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"
8.0,lew (2016),,7.0,0.0,1.0,http://dx.doi.org/10.1093/mnras/stv2552,2016.0,0.0,0.0,0.0,"<table><tr><td>Authors:</td><td>lew, b; uscka-kowalkowska, j</td></tr><tr><td>Title:</td><td>clear sky atmosphere at cm-wavelengths from climatology data</td></tr><tr><td>Source:</td><td>monthly notices of the royal astronomical society, 455(3), 2901-2917</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"
10.0,bustos (2014),,3.0,3.0,7.0,http://dx.doi.org/10.1086/679330,2014.0,0.6,0.6,3.0,"<table><tr><td>Authors:</td><td>bustos, r; rubio, m; otarola, a; nagar, n</td></tr><tr><td>Title:</td><td>parque astronomic de atacama: an ideal site for millimeter, submillimeter, and mid-infrared astronomy</td></tr><tr><td>Source:</td><td>publications of the astronomical society of the pacific, 126(946), 1126-1132</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"
11.0,suen (2014),,6.0,7.0,4.0,http://dx.doi.org/10.1109/tthz.2013.2294018,2014.0,1.4,1.4,7.0,"<table><tr><td>Authors:</td><td>suen, jy; fang, mt; lubin, pm</td></tr><tr><td>Title:</td><td>global distribution of water vapor and cloud cover-sites for high-performance thz applications</td></tr><tr><td>Source:</td><td>ieee transactions on terahertz science and technology, 4(1), 86-100</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"
12.0,denny (2013),,4.0,5.0,4.0,http://dx.doi.org/10.1016/j.newast.2013.04.008,2013.0,0.2083,0.2083,5.0,"<table><tr><td>Authors:</td><td>denny, sp; suen, jy; lubin, pm</td></tr><tr><td>Title:</td><td>fundamental limits of detection in the far infrared</td></tr><tr><td>Source:</td><td>new astronomy, 25, 114-129</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"
13.0,slocum (2013),,3.0,25.0,2.0,http://dx.doi.org/10.1016/j.jqsrt.2013.04.022,2013.0,1.0417,1.0417,25.0,"<table><tr><td>Authors:</td><td>slocum, dm; slingerland, ej; giles, rh; goyette, tm</td></tr><tr><td>Title:</td><td>atmospheric absorption of terahertz radiation and water vapor continuum effects</td></tr><tr><td>Source:</td><td>journal of quantitative spectroscopy & radiative transfer, 127, 49-63</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"
14.0,cadeddu (2013),,4.0,42.0,3.0,http://dx.doi.org/10.5194/amt-6-2359-2013,2013.0,1.75,1.75,42.0,"<table><tr><td>Authors:</td><td>cadeddu, mp; liljegren, jc; turner, dd</td></tr><tr><td>Title:</td><td>the atmospheric radiation measurement (arm) program network of microwave radiometers: instrumentation, data, and retrievals</td></tr><tr><td>Source:</td><td>atmospheric measurement techniques, 6(9), 2359-2372</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"
