id,label,timeset,weight<links>,score<avg._citations>,cluster,weight<occurrences>,score<avg._norm._citations>,weight<total_link_strength>,score<avg._pub._year>
4.0,absorption,,25.0,36.4,1.0,5.0,1.2773,31.0,2007.0
8.0,antarctica,,6.0,4.0,2.0,3.0,0.6841,6.0,2012.6667
14.0,astronomy,,10.0,7.5,2.0,4.0,0.8683,18.0,2012.25
18.0,atmospheric effects,,10.0,10.1667,2.0,6.0,1.0789,21.0,2011.5
19.0,atmospheric measurements,,13.0,74.3333,3.0,3.0,1.7223,17.0,2005.6667
33.0,calibration,,8.0,34.0,1.0,3.0,1.1792,9.0,2005.0
43.0,climate,,7.0,92.25,2.0,4.0,1.2478,7.0,2005.5
74.0,fourier-transform spectrometer,,15.0,86.0,1.0,3.0,1.4961,19.0,2005.0
83.0,ghz,,13.0,10.25,4.0,4.0,0.5508,14.0,2006.75
85.0,global positioning system,,3.0,15.3333,4.0,3.0,0.5038,3.0,2004.0
87.0,gps,,7.0,2.3333,4.0,3.0,0.6105,10.0,2011.0
89.0,h2o,,11.0,26.3333,1.0,3.0,1.4068,13.0,2009.0
121.0,mauna-kea,,14.0,42.3333,1.0,3.0,1.1652,18.0,2008.3333
131.0,microwave radiometer,,9.0,2.5,4.0,4.0,0.7579,15.0,2011.0
133.0,microwave radiometry,,10.0,14.3333,3.0,6.0,0.5849,21.0,2004.1667
137.0,millimeter,,25.0,44.8333,1.0,12.0,1.2692,54.0,2008.75
141.0,millimeter-wave,,16.0,20.5,3.0,4.0,1.2673,21.0,2009.0
143.0,millimeter-wave radiometry,,5.0,11.0,3.0,3.0,0.2884,9.0,2003.6667
148.0,model,,22.0,23.5,1.0,8.0,0.7171,31.0,2009.625
163.0,opacity,,23.0,43.0,2.0,6.0,1.6014,34.0,2009.1667
165.0,oxygen,,6.0,0.6667,4.0,3.0,0.9333,7.0,2012.0
167.0,ozone,,9.0,91.0,2.0,4.0,2.636,9.0,2004.5
172.0,path,,14.0,26.0,3.0,3.0,1.4976,16.0,2011.0
181.0,precipitable water,,14.0,11.5,4.0,4.0,0.8249,18.0,2008.0
185.0,profiles,,13.0,45.6667,3.0,3.0,1.1914,15.0,2004.0
191.0,radiation,,10.0,80.0,1.0,3.0,1.7855,12.0,2003.3333
196.0,radio astronomy,,7.0,56.0,2.0,3.0,1.589,7.0,2010.0
200.0,radiometer,,12.0,3.4,4.0,5.0,0.4814,17.0,2009.8
212.0,remote sensing,,16.0,13.125,3.0,8.0,0.5241,30.0,2005.25
214.0,retrieval,,12.0,23.0,3.0,3.0,0.9838,15.0,2006.0
233.0,site,,11.0,13.6667,2.0,3.0,1.2667,17.0,2014.0
234.0,site testing,,10.0,12.0,2.0,5.0,1.0146,21.0,2010.6
247.0,submillimeter,,19.0,29.2857,1.0,7.0,1.0602,32.0,2009.8571
261.0,temperature,,26.0,41.875,2.0,8.0,1.1358,35.0,2009.0
265.0,terahertz,,11.0,17.6667,1.0,3.0,0.681,16.0,2011.3333
273.0,thz,,13.0,45.0,1.0,3.0,1.4687,19.0,2009.3333
283.0,troposphere,,12.0,13.6667,4.0,3.0,0.7744,14.0,2007.3333
287.0,vapor,,15.0,31.0,2.0,3.0,0.5026,15.0,2006.6667
291.0,water vapor,,27.0,16.7273,3.0,11.0,0.8817,41.0,2005.5455
293.0,water vapour,,12.0,18.0,4.0,3.0,0.5698,13.0,2006.3333
295.0,water-vapor,,21.0,32.5714,1.0,7.0,1.3946,30.0,2009.0
