,code,dist,distc,prob,lmean,dmean,hmean,bmean,alt,name,muni,qind,clno
0,21201120.0,0.0,24.0,202.0,81.0,11.0,0.0,0.0,3045.0,Casita La,La Calera,5.6,1
1,21201230.0,9.0,14.0,202.0,74.0,10.0,0.0,0.0,2520.0,Enmanuel D Alzon,Bogota DC,5.6,1
2,21206210.0,19.0,5.0,135.0,61.0,12.0,0.0,0.0,2560.0,Flores Colombianas,Funza,4.9,1
3,21201540.0,20.0,19.0,67.0,50.0,13.0,0.0,0.0,2640.0,Bosa,Bogota DC,3.9,1
4,21205920.0,21.0,24.0,101.0,70.0,12.0,0.0,0.0,2650.0,Suasuque,Sopo,4.5,1
5,21201360.0,24.0,7.0,81.0,64.0,7.0,0.0,0.0,2550.0,Sta Ines,Tenjo,4.2,1
6,21206060.0,27.0,10.0,135.0,39.0,9.0,0.0,0.0,2575.0,Casablanca,Madrid,4.9,1
7,21201660.0,29.0,22.0,202.0,44.0,9.0,0.0,0.0,2607.0,Fute,Soacha,5.6,1
8,21200510.0,29.0,29.0,202.0,52.0,12.0,0.0,0.0,2618.0,Sibate Apostolica,Sibate,5.6,1
9,21201210.0,30.0,10.0,135.0,62.0,12.0,0.0,0.0,2575.0,Hato El,Tenjo,4.9,1
10,21201270.0,31.0,7.0,81.0,70.0,12.0,0.0,0.0,2550.0,Tibar El,Madrid,4.2,1
11,21205570.0,32.0,9.0,69.0,69.0,13.0,0.0,4.0,2590.0,Primavera La,Subachoque,3.9,1
12,21206020.0,32.0,17.0,135.0,69.0,11.0,0.0,0.0,2575.0,Santillana,Tabio,4.9,1
13,21200550.0,36.0,12.0,101.0,81.0,7.0,0.0,0.0,2725.0,Union La-El Rosal,Subachoque,4.5,1
14,21201070.0,38.0,13.0,67.0,70.0,9.0,0.0,0.0,2580.0,Corazon El,Facatativa,3.9,1
15,21200690.0,38.0,15.0,202.0,89.0,9.0,0.0,0.0,2610.0,Tesoro-Vertientes,Facatativa,5.6,1
16,21201760.0,39.0,26.0,101.0,35.0,5.0,0.0,0.0,2680.0,Sta Isabel,Tabio,4.5,1
17,21205910.0,39.0,31.0,61.0,60.0,12.0,0.0,0.0,2600.0,Cosecha La,Zipaquira,3.7,1
18,21206340.0,43.0,39.0,73.0,51.0,12.0,0.0,0.0,2700.0,Paraiso Perdido,Sibate,4.0,1
19,21206290.0,51.0,27.0,202.0,73.0,12.0,0.0,0.0,2673.0,Venecia,Facatativa,5.6,1
